,County,2009 Median Price,2010 Median Price,2013 Median Price,2012 Median Price
1563,8,213500.0,211300.0,269500.0,218800.0
1564,1506,108400.0,107100.0,101600.0,102900.0
1565,384,115200.0,111800.0,103500.0,103800.0
1566,400,172300.0,166800.0,168700.0,166000.0
1567,490,131400.0,129600.0,130100.0,122700.0
1568,2272,68700.0,68400.0,72800.0,68900.0
1569,301,69800.0,68900.0,63400.0,65400.0
1570,1295,92400.0,91500.0,88400.0,86600.0
1571,258,112800.0,112300.0,107800.0,106800.0
1572,889,172500.0,155300.0,159100.0,158100.0
1573,1391,114300.0,106000.0,96100.0,84000.0
1574,1376,70700.0,68200.0,63600.0,64300.0
1575,1220,253300.0,246600.0,260000.0,239000.0
1576,450,169600.0,165700.0,166000.0,162900.0
1577,147,402300.0,399000.0,377000.0,366200.0
1578,438,190100.0,176900.0,187700.0,187100.0
1579,1147,60300.0,66000.0,66400.0,65900.0
1580,416,131900.0,130000.0,132500.0,129000.0
1581,1810,68800.0,67700.0,66700.0,70100.0
1582,442,90800.0,91600.0,88600.0,88700.0
1583,868,379100.0,335400.0,354400.0,333500.0
1584,291,119100.0,112900.0,100100.0,106600.0
1585,2677,79800.0,84400.0,83900.0,84400.0
1586,1897,86500.0,85300.0,82100.0,84900.0
1587,1511,90600.0,90400.0,97600.0,93000.0
1588,569,101200.0,92600.0,83700.0,85800.0
1589,2424,71700.0,65000.0,57100.0,58800.0
1590,481,104800.0,99400.0,94200.0,91200.0
1591,168,140500.0,135700.0,140300.0,135500.0
1592,519,144800.0,148400.0,145800.0,145200.0
1593,19,209800.0,197000.0,253700.0,196000.0
1594,742,159800.0,168000.0,168600.0,163000.0
1595,1255,85000.0,83700.0,84000.0,77000.0
1596,1656,106300.0,102500.0,101000.0,97300.0
1597,1515,173400.0,171500.0,167300.0,171900.0
1598,132,181300.0,178600.0,173400.0,169700.0
1599,424,145900.0,143000.0,145900.0,139600.0
1600,1229,95900.0,91800.0,81800.0,85900.0
1601,1280,86000.0,79100.0,96200.0,79200.0
1602,2359,85600.0,82600.0,85300.0,85500.0
1603,422,183600.0,176900.0,186200.0,177500.0
1604,1461,83600.0,81100.0,79600.0,79000.0
1605,2706,81900.0,69100.0,64500.0,66100.0
1606,1560,125800.0,125000.0,126900.0,127100.0
1607,1261,230700.0,213200.0,224800.0,211100.0
1608,1233,103362.0,100772.0,89983.0,92943.0
1609,1477,73667.0,72677.0,75953.0,75168.0
1610,1394,88800.0,82400.0,102300.0,94800.0
1611,344,67200.0,73500.0,71900.0,72900.0
1612,143,117300.0,116000.0,94800.0,109200.0
1613,212,119100.0,116500.0,120100.0,116300.0
1614,28,157500.0,149300.0,143800.0,139000.0
1615,1225,102700.0,96300.0,118300.0,100100.0
1616,2009,71741.0,70000.0,72600.0,67300.0
1617,357,266000.0,259000.0,258600.0,252200.0
