,County,2009 Median Price,2010 Median Price,2011 Median Price,2012 Median Price,2013 Median Price,2014 Median Price,2015 Median Price,2016 Median Price,2010 Difference,2011 Difference,2012 Difference,2013 Difference,2014 Difference,2015 Difference,2016 Difference,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
122,420,242100,233000,228800,234200,246900,254200,278600,309300,-9100,-4200,5400,12700,7300,24400,30700,-3.758777365,-1.802575107,2.36013986,5.422715628,2.956662616,9.598741149,11.01938263
123,1913,66300,63900,63100,65200,65900,70400,72800,71700,-2400,-800,2100,700,4500,2400,-1100,-3.619909502,-1.251956182,3.328050713,1.073619632,6.828528073,3.409090909,-1.510989011
124,235,169100,172900,171900,172300,175500,176600,202700,225700,3800,-1000,400,3200,1100,26100,23000,2.247191011,-0.578368999,0.232693426,1.857225769,0.626780627,14.77916195,11.34681796
125,1896,102200,95000,96600,99200,103200,111000,124600,140700,-7200,1600,2600,4000,7800,13600,16100,-7.045009785,1.684210526,2.691511387,4.032258065,7.558139535,12.25225225,12.92134831
126,39,416700,400900,378000,377500,400300,398700,412400,423300,-15800,-22900,-500,22800,-1600,13700,10900,-3.791696664,-5.712147668,-0.132275132,6.039735099,-0.399700225,3.436167545,2.643064985
127,232,150000,146200,138600,142400,147500,152100,152300,169000,-3800,-7600,3800,5100,4600,200,16700,-2.533333333,-5.198358413,2.741702742,3.581460674,3.118644068,0.131492439,10.96520026
128,1359,154600,137187,135546,148850,140526,146138,153051,156351,-17413,-1641,13304,-8324,5612,6913,3300,-11.26326003,-1.19617748,9.815118115,-5.59220692,3.993567027,4.73046025,2.15614403
129,119,164100,155700,146800,147000,147500,150900,151100,155300,-8400,-8900,200,500,3400,200,4200,-5.118829982,-5.716120745,0.136239782,0.340136054,2.305084746,0.132538105,2.779616148
130,306,183300,181300,173700,171900,179500,177000,182900,189300,-2000,-7600,-1800,7600,-2500,5900,6400,-1.091107474,-4.191947049,-1.03626943,4.421175102,-1.39275766,3.333333333,3.49917988
131,1182,186300,180100,165600,163300,163000,170600,178300,183200,-6200,-14500,-2300,-300,7600,7700,4900,-3.327965647,-8.051082732,-1.388888889,-0.183710961,4.662576687,4.513481829,2.748177229
132,1287,101800,103700,94800,92900,102600,109300,112300,118900,1900,-8900,-1900,9700,6700,3000,6600,1.866404715,-8.582449373,-2.004219409,10.44133477,6.530214425,2.74473925,5.877114871
133,1161,124700,123400,122600,123900,128100,134600,143600,153200,-1300,-800,1300,4200,6500,9000,9600,-1.042502005,-0.648298217,1.060358891,3.389830508,5.074160812,6.686478455,6.685236769
